
667299122.507,44249.369473460648148148148148,Recv,,/0x8/0x1/0x0/0x2/0x3/0x1/0x4/0x42,Recieved an Application Ack with code: 1
667299122.547,44249.369473923611111111111111,Sent,/0x6/0x0,,Sent Link Ack
667299142.524,44249.369705138888888888888889,Recv,,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,Received a Device Info Request
667299142.563,44249.369705590277777777777778,Sent,/0x6/0x0,,Sent Link Ack
667299142.673,44249.369706863425925925925926,Sent,/0x8/0x1/0x0/0x2/0x4/0x1/0x1/0x44,,Sent Message Not Supported Application Nak
667299142.723,44249.369707442129629629629630,Recv,,/0x6/0x0,Link Ack Received
667299160.290,44249.369910763888888888888889,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
667299160.350,44249.369911458333333333333333,Recv,,/0x6/0x0,Link Ack Received
667299160.510,44249.369913310185185185185185,Recv,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x2/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0x9B/0xE0,Received Device Info
667299160.545,44249.369913715277777777777778,Sent,/0x6/0x0,,Sent Link Ack
667299167.969,44249.369999641203703703703704,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667299168.056,44249.370000648148148148148148,Recv,,/0x6/0x0,Link Ack Received
667299168.198,44249.370002291666666666666667,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3D/0xCA/0xB3,Received a Get Present Temperature Reply
667299168.280,44249.370003240740740740740741,Sent,/0x6/0x0,,Sent Link Ack
667299171.330,44249.370038541666666666666667,Sent,/0x8/0x2/0x0/0x2/0x3/0x4/0xF7/0x4A,,Sent Get Present Temperature Request
667299171.429,44249.3700396875,Recv,,/0x6/0x0,Link Ack Received
667299171.564,44249.37004125,Recv,,/0x8/0x2/0x0/0x8/0x3/0x84/0x0/0x0/0x0/0x0/0x0/0x3D/0xCA/0xB3,Received a Get Present Temperature Reply
667299171.645,44249.3700421875,Sent,/0x6/0x0,,Sent Link Ack
667299174.988,44249.370080879629629629629630,Sent,/0x8/0x2/0x0/0x2/0x3/0x3/0xF9/0x49,,Sent Get Setpoint Request
